model,accuracy,roc_auc,precision,recall,f1
Logistic Regression,0.8858695652173914,0.9299378287900525,0.8715596330275229,0.9313725490196079,0.9004739336492891
Random Forest,0.907608695652174,0.9323290291726447,0.897196261682243,0.9411764705882353,0.9186602870813397
